Threads,Matrix Size,Runtime (s),Speedup
1,20000,2.45826,1
1,40000,9.82988,1
2,20000,1.33029,1.84791
2,40000,4.94995,1.98585
4,20000,0.635905,3.86576
4,40000,2.53006,3.88524
7,20000,0.408627,6.01591
7,40000,1.46862,6.69329
8,20000,0.363233,6.76773
8,40000,1.30574,7.52822
16,20000,0.18706,13.1415
16,40000,0.668702,14.6999
20,20000,0.14764,16.6504
20,40000,0.539409,18.2234
40,20000,0.0951795,25.8276
40,40000,0.361254,27.2104
1,20000,2.46384,1
1,40000,9.85406,1
2,20000,1.33167,1.85019
2,40000,4.99819,1.97152
4,20000,0.652247,3.77746
4,40000,2.60013,3.78984
7,20000,0.402293,6.12449
7,40000,1.52496,6.46183
8,20000,0.351186,7.01576
8,40000,1.31926,7.46936
16,20000,0.204097,12.0719
16,40000,0.703333,14.0105
20,20000,0.167845,14.6792
20,40000,0.553357,17.8078
40,20000,0.0936342,26.3134
40,40000,0.35059,28.1071
1,20000,2.45574,1
1,40000,9.78345,1
2,20000,1.25583,1.95547
2,40000,5.03332,1.94374
4,20000,0.637104,3.85453
4,40000,2.54007,3.85165
7,20000,0.401006,6.12395
7,40000,1.50586,6.49692
8,20000,0.358967,6.84113
8,40000,1.32078,7.40735
16,20000,0.177668,13.822
16,40000,0.672845,14.5404
20,20000,0.149254,16.4535
20,40000,0.555221,17.6208
40,20000,0.0867452,28.3098
40,40000,0.340082,28.7679
1,20000,2.45324,1
1,40000,9.8092,1
2,20000,1.33806,1.83343
2,40000,5.34083,1.83664
4,20000,0.719759,3.40842
4,40000,2.87731,3.40915
7,20000,0.444061,5.52455
7,40000,1.68901,5.80765
8,20000,0.412478,5.94756
8,40000,1.48403,6.60985
16,20000,0.196695,12.4723
16,40000,0.757137,12.9556
20,20000,0.165914,14.7862
20,40000,0.641013,15.3027
40,20000,0.0979349,25.0497
40,40000,0.377403,25.9913
1,20000,2.45316,1
1,40000,9.81383,1
2,20000,1.25707,1.95149
2,40000,5.08557,1.92974
4,20000,0.652963,3.75696
4,40000,2.60765,3.76347
7,20000,0.378796,6.4762
7,40000,1.49662,6.55731
8,20000,0.328371,7.47069
8,40000,1.3148,7.46415
16,20000,0.177955,13.7853
16,40000,0.671606,14.6125
20,20000,0.141962,17.2804
20,40000,0.5368,18.2821
40,20000,0.0917815,26.7282
40,40000,0.34485,28.4583
1,20000,2.45789,1
1,40000,9.80874,1
2,20000,1.25705,1.95529
2,40000,5.0013,1.96124
4,20000,0.687294,3.57618
4,40000,2.59287,3.78297
7,20000,0.381959,6.43496
7,40000,1.48958,6.58491
8,20000,0.346117,7.10133
