Threads,Runtime (s),Speedup
1,0.524393,0.981736
2,0.26698,1.92829
4,0.142605,3.61007
7,0.0814605,6.31982
8,0.0676636,7.60845
16,0.044333,11.6125
20,0.0309988,16.6076
40,0.0238394,21.5951
1,0.525078,0.990146
2,0.270581,1.92144
4,0.143247,3.62941
7,0.0853113,6.0942
8,0.0764017,6.80488
16,0.0393317,13.2184
20,0.0357031,14.5619
40,0.0286063,18.1745
1,0.525989,1.00465
2,0.272168,1.94158
4,0.137554,3.84165
7,0.0857219,6.16453
8,0.0746672,7.07721
16,0.0386952,13.6563
20,0.0384345,13.749
40,0.0243141,21.7337
1,0.524121,1.00255
2,0.272101,1.93112
4,0.142464,3.68836
7,0.0835234,6.29116
8,0.0713578,7.36373
16,0.0381833,13.7615
20,0.0340081,15.451
40,0.0217024,24.212
1,0.534332,0.969757
2,0.273426,1.89511
4,0.14415,3.59469
7,0.0858292,6.03725
8,0.0694092,7.46547
16,0.0436297,11.8766
20,0.0334774,15.4783
40,0.0222433,23.2957
1,0.524327,0.993246
2,0.276772,1.88164
4,0.141485,3.68087
7,0.0855845,6.08505
8,0.0701808,7.42063
16,0.0483634,10.7682
20,0.0336872,15.4595
40,0.021652,24.0526
1,0.518211,0.999547
2,0.273001,1.89735
4,0.142702,3.62978
7,0.0829023,6.24804
8,0.072825,7.11262
16,0.0433926,11.937
20,0.0307361,16.8524
40,0.0212036,24.4287
1,0.507407,1.00112
2,0.268915,1.88898
4,0.142775,3.55786
7,0.0858104,5.91974
8,0.0759141,6.69144
16,0.0437839,11.6019
20,0.0321415,15.8043
40,0.023394,21.7139
1,0.498829,1.01762
2,0.268129,1.89318
4,0.141913,3.57696
7,0.0865417,5.86558
8,0.0706868,7.18121
16,0.0431043,11.7765
20,0.0348114,14.5819
40,0.0223461,22.7161
1,0.517048,1.00002
2,0.261889,1.97434
4,0.141825,3.64576
7,0.0960291,5.3844
8,0.0792607,6.52353
16,0.0403561,12.8124
20,0.040638,12.7235
40,0.0206137,25.0833
1,0.515796,1.00076
2,0.269764,1.91349
4,0.142081,3.63307
7,0.0863148,5.98033
8,0.0701788,7.35536
16,0.0432702,11.9295
20,0.0366404,14.088
40,0.0239363,21.5652
1,0.509808,1.00226
2,0.27262,1.87425
4,0.14098,3.62432
7,0.0854575,5.97909
8,0.0692466,7.37882
16,0.0483729,10.5629
20,0.0337255,15.1505
40,0.0253758,20.1357
1,0.513397,1.02796
2,0.270353,1.95209
4,0.141856,3.72034
7,0.0994891,5.30463
8,0.0799342,6.60235
16,0.0410823,12.8463
20,0.0318288,16.581
40,0.0206435,25.5651
1,0.518803,0.998638
2,0.265584,1.95079
4,0.141734,3.65541
7,0.0858604,6.03418
8,0.0701836,7.38202
16,0.0400463,12.9375
20,0.0318943,16.2442
40,0.025439,20.3662
1,0.492152,1.00815
2,0.260749,1.90284
4,0.13865,3.57853
7,0.085238,5.82092
8,0.0761014,6.51977
16,0.0432067,11.4835
20,0.0323347,15.3446
40,0.0286699,17.3061
1,0.484399,1.00056
2,0.253972,1.90835
4,0.136027,3.56305
7,0.0818834,5.91902
8,0.0742974,6.52336
16,0.0422583,11.4692
20,0.0363313,13.3403
40,0.0301247,16.0887
1,0.488893,1.01233
2,0.256964,1.92603
4,0.135514,3.65217
7,0.0856134,5.78088
8,0.0751993,6.58145
16,0.0450704,10.9811
20,0.0364559,13.5759
40,0.0284081,17.4218
1,0.495962,0.997694
2,0.259378,1.90772
4,0.135669,3.64724
7,0.0848542,5.8314
8,0.0740965,6.67803
16,0.0411256,12.0319
20,0.0368484,13.4285
40,0.02562,19.3138
1,0.492632,1.00739
2,0.25682,1.93237
4,0.135107,3.67317
7,0.0816304,6.07949
8,0.0734491,6.75667
16,0.0422008,11.7598
20,0.0355192,13.9719
40,0.0282241,17.5833
1,0.477406,1.00345
2,0.250963,1.90886
4,0.134121,3.57179
7,0.0814991,5.87802
8,0.0736634,6.50327
16,0.0418742,11.4403
20,0.0354014,13.532
40,0.0288778,16.5889
1,0.471678,1.00833
2,0.249993,1.90248
4,0.134578,3.53408
7,0.0824848,5.766
8,0.0742894,6.4021
16,0.0419396,11.3403
20,0.0359051,13.2462
40,0.0262801,18.0976
1,0.463462,1.04942
2,0.245211,1.98347
4,0.132887,3.66001
7,0.0815643,5.96301
8,0.0741074,6.56302
16,0.0422196,11.52
20,0.0358209,13.5778
40,0.0282151,17.2379
1,0.480088,0.997135
2,0.254826,1.87859
4,0.134776,3.55192
7,0.0816487,5.86307
8,0.0728144,6.57442
16,0.0436203,10.9745
20,0.0356014,13.4464
40,0.0252222,18.9798
1,0.481081,1.01147
2,0.255007,1.90818
4,0.134311,3.62293
7,0.0825156,5.89704
8,0.0749175,6.49512
16,0.0423842,11.4807
20,0.037068,13.1272
40,0.0260513,18.6785
1,0.475591,1.00787
2,0.251605,1.90511
4,0.134626,3.56051
7,0.0819736,5.84745
8,0.0742745,6.45358
16,0.0440539,10.8807
20,0.0355571,13.4807
40,0.0259739,18.4545
1,0.480238,1.00365
2,0.250495,1.92416
4,0.135424,3.55914
7,0.0815214,5.91247
8,0.0742724,6.48953
16,0.0422022,11.421
20,0.0368276,13.0878
40,0.0323472,14.9006
1,0.478942,1.00624
2,0.251762,1.91422
4,0.134613,3.58012
7,0.0823866,5.8496
8,0.0736619,6.54244
16,0.0433787,11.1098
20,0.035766,13.4745
40,0.0251979,19.1258
1,0.481276,1.00333
2,0.255178,1.89232
4,0.132641,3.64051
7,0.0817556,5.90638
8,0.0723131,6.67762
16,0.0424138,11.3849
20,0.0366166,13.1874
40,0.0250994,19.2387
1,0.4915,0.971534
2,0.248619,1.92065
4,0.133715,3.57108
7,0.0829199,5.75867
8,0.0724219,6.59342
16,0.0422131,11.3119
20,0.0357677,13.3503
40,0.0250825,19.0375
1,0.472226,1.02442
2,0.253164,1.91085
4,0.13483,3.58791
7,0.0818163,5.91275
8,0.072843,6.64112
16,0.0421895,11.4663
20,0.0371415,13.0248
40,0.0267785,18.0652
