Matrix Size,Threads,Iterations,Time (s),Absolute Error,Relative Error,Schedule
20000,1,53,96.8214,0.1826,0.1826,guided
20000,2,53,52.3555,0.1826,0.1826,guided
20000,4,53,27.6807,0.1826,0.1826,guided
20000,7,53,14.0812,0.1826,0.1826,guided
20000,8,53,13.4044,0.1826,0.1826,guided
20000,16,53,7.9882,0.1826,0.1826,guided
20000,20,53,6.4781,0.1826,0.1826,guided
20000,40,53,4.6564,0.1826,0.1826,guided
20000,80,53,5.3955,0.1826,0.1826,guided
20000,1,53,89.9576,0.1826,0.1826,static
20000,2,53,52.3113,0.1826,0.1826,static
20000,4,53,23.3634,0.1826,0.1826,static
20000,7,53,15.1506,0.1826,0.1826,static
20000,8,53,14.2849,0.1826,0.1826,static
20000,16,53,6.2708,0.1826,0.1826,static
20000,20,53,5.4393,0.1826,0.1826,static
20000,40,53,5.2160,0.1826,0.1826,static
20000,80,53,5.5212,0.1826,0.1826,static
20000,1,53,96.5240,0.1826,0.1826,dynamic
20000,2,53,74.0347,0.1826,0.1826,dynamic
20000,4,53,55.1332,0.1826,0.1826,dynamic
20000,7,53,60.2462,0.1826,0.1826,dynamic
20000,8,53,41.5109,0.1826,0.1826,dynamic
20000,16,53,34.1385,0.1826,0.1826,dynamic
20000,20,53,32.0335,0.1826,0.1826,dynamic
20000,40,53,22.2022,0.1826,0.1826,dynamic
20000,80,53,22.5687,0.1826,0.1826,dynamic
20000,1,53,89.6721,0.1826,0.1826,auto
20000,2,53,52.0446,0.1826,0.1826,auto
20000,4,53,23.3869,0.1826,0.1826,auto
20000,7,53,13.4398,0.1826,0.1826,auto
20000,8,53,11.8248,0.1826,0.1826,auto
20000,16,53,8.1840,0.1826,0.1826,auto
20000,20,53,5.2007,0.1826,0.1826,auto
20000,40,53,5.3772,0.1826,0.1826,auto
20000,80,53,5.5868,0.1826,0.1826,auto
20000,1,,90.8846,0.1826,0.1826,parallel
20000,2,,52.8299,0.1826,0.1826,parallel
20000,4,,23.9162,0.1826,0.1826,parallel
20000,7,,13.8369,0.1826,0.1826,parallel
20000,8,,12.1821,0.1826,0.1826,parallel
20000,16,,6.3668,0.1826,0.1826,parallel
20000,20,,6.6169,0.1826,0.1826,parallel
20000,40,,5.2243,0.1837,0.1837,parallel
20000,80,,4.5022,0.1837,0.1837,parallel
